coluna,total_nulos,percentual_nulos
DataObito,5165391,99.5491
DataColetaSorologia,5088720,98.0715
DataColetaSorologiaIGG,5042037,97.1718
DataColeta_RT_PCR,3575193,68.9023
DataColetaTesteRapido,1937706,37.3441
DataEncerramento,225631,4.3484
Bairro,44828,0.8639
DataNotificacao,0,0.0000
DataCadastro,0,0.0000
DataDiagnostico,0,0.0000
Classificacao,0,0.0000
Evolucao,0,0.0000
CriterioConfirmacao,0,0.0000
StatusNotificacao,0,0.0000
Municipio,0,0.0000
FaixaEtaria,0,0.0000
IdadeNaDataNotificacao,0,0.0000
Sexo,0,0.0000
RacaCor,0,0.0000
Escolaridade,0,0.0000
Gestante,0,0.0000
Febre,0,0.0000
DificuldadeRespiratoria,0,0.0000
Tosse,0,0.0000
Coriza,0,0.0000
DorGarganta,0,0.0000
Diarreia,0,0.0000
Cefaleia,0,0.0000
ComorbidadePulmao,0,0.0000
ComorbidadeCardio,0,0.0000
ComorbidadeRenal,0,0.0000
ComorbidadeDiabetes,0,0.0000
ComorbidadeTabagismo,0,0.0000
ComorbidadeObesidade,0,0.0000
FicouInternado,0,0.0000
ViagemBrasil,0,0.0000
ViagemInternacional,0,0.0000
ProfissionalSaude,0,0.0000
PossuiDeficiencia,0,0.0000
MoradorDeRua,0,0.0000
ResultadoRT_PCR,0,0.0000
ResultadoTesteRapido,0,0.0000
ResultadoSorologia,0,0.0000
ResultadoSorologia_IGG,0,0.0000
TipoTesteRapido,0,0.0000
